Date,Open,High,Low,Close,Adj Close,Volume
2014-02-10,149800.0,150600.0,146800.0,146800.0,143335.765625,662740
2014-02-11,147600.0,149400.0,146400.0,147400.0,143921.59375,493230
2014-02-12,148600.0,149000.0,146200.0,148200.0,144702.6875,343325
2014-02-13,148200.0,149600.0,146200.0,149600.0,146069.671875,486735
2014-02-14,149600.0,151200.0,148400.0,150000.0,146460.234375,521545
2014-02-17,151600.0,153400.0,149400.0,149800.0,146264.96875,489580
2014-02-18,150600.0,151000.0,148400.0,150400.0,146850.8125,260170
2014-02-19,150400.0,151400.0,148200.0,150000.0,146460.234375,374990
2014-02-20,143600.0,146400.0,137400.0,137800.0,134548.125,3448010
2014-02-21,137600.0,143800.0,137400.0,141000.0,137672.59375,2414515
2014-02-24,142600.0,142800.0,135000.0,136800.0,133571.734375,1308045
2014-02-25,138400.0,148800.0,137000.0,147000.0,143531.03125,2407530
2014-02-26,150400.0,152000.0,148600.0,152000.0,148413.0,1767605
2014-02-27,152000.0,159800.0,149600.0,158400.0,154661.984375,1395030
2014-02-28,160800.0,164000.0,159600.0,163400.0,159544.0,1432420
2014-03-03,162000.0,165400.0,158800.0,162600.0,158762.890625,1331990
2014-03-04,161600.0,165200.0,161400.0,164400.0,160520.390625,470745
2014-03-05,166600.0,171400.0,166000.0,170400.0,166378.828125,749525
2014-03-06,176000.0,176000.0,166400.0,167200.0,163254.34375,1028675
2014-03-07,168000.0,169800.0,164800.0,165200.0,161301.546875,612180
2014-03-10,166600.0,171400.0,166000.0,170600.0,166574.078125,661590
2014-03-11,172800.0,175400.0,168000.0,170000.0,165988.265625,554250
2014-03-12,169200.0,170800.0,162400.0,162400.0,158567.609375,938460
2014-03-13,162800.0,167800.0,162400.0,167400.0,163449.609375,787445
2014-03-14,163600.0,166400.0,159800.0,162000.0,158177.0625,915630
2014-03-17,160600.0,164400.0,158400.0,160200.0,156419.546875,655680
2014-03-18,162600.0,165400.0,159200.0,163800.0,159934.5625,663245
2014-03-19,166600.0,170000.0,165000.0,166600.0,162668.515625,654555
2014-03-20,167600.0,168800.0,162400.0,163000.0,159153.4375,572225
2014-03-21,163000.0,163800.0,158800.0,160800.0,157005.375,618835
2014-03-24,161000.0,167000.0,160800.0,166800.0,162863.78125,475420
2014-03-25,162200.0,163800.0,157400.0,158400.0,154661.984375,1275615
2014-03-26,159400.0,160200.0,154000.0,159400.0,155638.421875,818290
2014-03-27,153400.0,155800.0,151800.0,154600.0,150951.671875,1545280
2014-03-28,153600.0,157000.0,153000.0,156000.0,152318.640625,966525
2014-03-31,156200.0,156800.0,153200.0,154800.0,151146.96875,791615
2014-04-01,154000.0,156800.0,153600.0,156000.0,152318.640625,794020
2014-04-02,158600.0,162200.0,157800.0,161000.0,157200.640625,1046645
2014-04-03,161400.0,163000.0,159600.0,160600.0,156810.09375,617495
2014-04-04,155800.0,159200.0,155800.0,158000.0,154271.453125,807795
2014-04-07,152800.0,153800.0,147200.0,147800.0,144312.140625,2216160
2014-04-08,144600.0,149800.0,144000.0,148400.0,144897.984375,1378530
2014-04-09,151800.0,152200.0,149600.0,149600.0,146069.671875,791085
2014-04-10,155000.0,155400.0,151200.0,153000.0,149389.4375,965750
2014-04-11,147000.0,148800.0,146800.0,148200.0,144702.6875,864155
2014-04-14,147600.0,150400.0,147000.0,148600.0,145093.28125,498540
2014-04-15,149600.0,150200.0,146200.0,146800.0,143335.765625,574750
2014-04-16,148000.0,150600.0,147600.0,150000.0,146460.234375,620550
2014-04-17,150000.0,150000.0,146000.0,147400.0,143921.59375,722455
