Date,Open,High,Low,Close,Volume
2022-02-03,72317.7445856071,72317.7445856071,70772.90625,70772.90625,17744721
2022-02-04,71738.43062711149,72028.08781672298,70869.45905827703,71448.7734375,12730034
2022-02-07,70966.01198630137,71062.56438356164,69903.93561643835,70483.25,14240838
2022-02-08,70483.25,70483.25,70483.25,70483.25,0
2022-02-09,70483.25,70483.25,70483.25,70483.25,0
2022-02-10,72993.62044098144,73186.72525696286,72124.648769065,72800.515625,17746033
2022-02-11,72414.31022613484,72897.07229430908,72028.10057159545,72317.7578125,12205407
2022-02-14,71834.98397218453,71931.53636999661,70579.80280062754,71159.1171875,13993255
2022-02-15,71545.3267787483,71641.87917656038,70579.80280062754,71159.1171875,9320365
2022-02-16,72028.0905121992,72317.74771265041,71641.8809115976,72221.1953125,10767386
2022-02-17,72414.3046875,72993.619125,71931.54265625,72414.3046875,13605382
2022-02-18,72028.08687331763,72221.19166386272,71159.11531586474,71738.4296875,10122226
2022-02-21,71738.4296875,71738.4296875,71738.4296875,71738.4296875,0
2022-02-22,71738.4296875,71738.4296875,71738.4296875,71738.4296875,0
2022-02-23,71738.4296875,71738.4296875,71738.4296875,71738.4296875,0
2022-02-24,69807.38798076923,69807.38798076923,68841.8639423077,69034.96875,15759283
2022-02-25,69614.28449886995,70097.04652729485,69421.1796875,69421.1796875,13168484
2022-02-28,69421.1796875,69421.1796875,69421.1796875,69421.1796875,0
2022-03-02,69807.39258629706,69903.94499651325,69034.97330456764,69228.078125,12481430
2022-03-03,69807.38094778807,70579.80010073731,69710.82855366942,70386.6953125,13232638
2022-03-04,70386.6953125,70386.6953125,70386.6953125,70386.6953125,0
2022-03-07,67586.68197218259,68165.99638908701,67490.12956936519,67683.234375,18617138
2022-03-08,66428.05503597122,67586.6839028777,66331.50263039568,67103.921875,15828269
2022-03-10,67103.921875,67103.921875,67103.921875,67103.921875,0
2022-03-11,68069.44955357144,68262.554375,67297.03026785715,67586.6875,15787655
2022-03-14,67586.68425035612,67779.7890625,67200.47462606838,67779.7890625,9040993
2022-03-15,67779.7890625,67779.7890625,67779.7890625,67779.7890625,0
2022-03-16,67779.79361239346,68069.45085005327,67297.03154962712,67972.8984375,10175750
2022-03-17,67972.8984375,67972.8984375,67972.8984375,67972.8984375,0
2022-03-18,68165.99447489392,68455.65167521217,67779.7848744696,68262.546875,14410038
2022-03-21,68455.64896280401,68552.20135908441,67490.125,67490.125,11169002
2022-03-22,67490.1263446835,68069.44073390825,67490.1263446835,67876.3359375,9402666
2022-03-23,68165.98989361702,68745.30425531915,67876.33271276596,68069.4375,12398025
2022-03-24,67200.47331661891,67876.34014595272,67200.47331661891,67393.578125,37943357
2022-03-25,67683.23533757163,67779.78774176218,67200.47331661891,67393.578125,12986010
2022-03-28,67103.91863567074,67490.12823932928,66814.26143292683,67297.0234375,12619289
2022-03-29,67586.68425035612,67876.34146857193,67393.57943821225,67779.7890625,13686208
2022-03-30,68227.19815137697,68421.30113331544,67741.94069653076,67838.9921875,12670187
2022-03-31,67838.99040274785,68130.14486799568,67547.8359375,67547.8359375,12510366
2022-04-01,67450.77621879523,67450.77621879523,66965.5188359262,67062.5703125,15916846
2022-04-04,66868.47374413781,67256.6796875,66577.31928661617,67256.6796875,11107905
2022-04-05,67353.73579750722,67547.83878251445,67062.58131999639,67159.6328125,8467248
2022-04-06,66577.31710766423,66771.4200729927,66480.265625,66480.265625,15517308
2022-04-07,66480.25735294117,66480.25735294117,65995.0,65995.0,20683327
2022-04-08,66092.05285536504,66286.15580060841,65703.84696487832,65800.8984375,15453191
2022-04-11,65800.9094486377,66092.0639152246,65412.703493188514,65897.9609375,12263735
2022-04-12,65606.80895522388,65703.8604477612,65024.5,65024.5,13924389
2022-04-13,65315.646458788215,66965.52162936682,65218.594978165944,66674.3671875,17378619
2022-04-14,66674.37175347222,66674.37175347222,65509.75390625,65509.75390625,16409494
2022-04-15,65218.601914414416,65315.653405358484,64539.24147780593,64636.29296875,13176415
2022-04-18,64539.24077023988,65121.54970952024,64151.03481071964,64733.34375,10119203
2022-04-19,65121.54157573366,65995.0048755572,65024.49009797548,65315.64453125,12959434
2022-04-20,65024.50105480341,65412.70703125,64539.24358424518,65412.70703125,16693293
2022-04-21,65606.80008308715,66286.16043897711,65509.7486036743,65703.8515625,12847448
2022-04-22,65218.60298507463,65315.65447761194,64733.34552238806,65024.5,11791478
2022-04-25,64539.231859210035,64733.33481217006,64345.12890625,64345.12890625,11016474
2022-04-26,64442.18177950076,64733.33621525152,64151.02734375001,64151.02734375,12946923
2022-04-27,63471.670781249995,63568.722265625,62986.413359375,63083.46484375,18122084
2022-04-28,63471.668258101854,63568.71973861883,62598.20493344907,62889.359375,16895527
2022-04-29,63180.522666682125,65606.8100194733,63083.47117257048,65412.70703125,26190390
2022-05-02,64636.284186942794,65606.79896452453,64539.232709184624,65315.64453125,14106184
2022-05-03,65412.702418981484,66383.21729166668,65315.65093171297,65509.75390625,14168875
2022-05-04,65995.0124263623,66383.21838181149,65509.754982050814,65897.9609375,11505248
2022-05-06,65024.491776315794,65121.543256578945,64539.234375,64539.234375,14356156
2022-05-10,63956.93110254947,64345.137057648404,63374.622169901064,63762.828125,17235605
2022-05-11,63568.72514745053,64345.137057648404,63277.57068112634,63762.828125,12330920
2022-05-12,63277.568518875196,63568.722975250384,62986.4140625,62986.4140625,16414188
2022-05-13,63374.61661184211,64733.33733552632,63277.56513157895,64539.234375,14551536
2022-05-16,65121.540718090124,65412.69514753017,64151.02595328997,64345.12890625,11937555
2022-05-17,64636.28212832841,65897.95129900148,64636.28212832841,65606.796875,15680447
2022-05-18,66286.15763812407,66674.36353937225,65606.79731093979,66092.0546875,16486319
2022-05-19,64539.239033564816,65606.80539351852,64539.239033564816,65509.75390625,17073727
2022-05-20,65800.89705882352,66383.20588235294,65703.84558823529,65995.0,12109671
2022-05-23,66771.42433726067,66771.42433726067,65606.80647091311,65897.9609375,13684088
2022-05-24,65509.74917763158,65703.85213815789,64539.234375,64539.234375,15482576
2022-05-25,64733.34196159639,65121.54791039157,63956.930064006025,64442.1875,15150490
2022-05-26,64345.1317040497,65218.59503034902,63568.719858450306,63956.92578125,15970890
2022-05-27,64733.33733552632,64927.440296052635,64248.07993421053,64539.234375,11405555
2022-05-30,65509.7486036743,65800.90304191285,64927.4397271972,65703.8515625,14255484
2022-05-31,65509.75852536165,65509.75852536165,64733.34657246847,65412.70703125,24365002
2022-06-02,64636.29226011994,65024.49821964018,64442.189280359824,64733.34375,14959443
2022-06-03,65218.59262724551,65315.64410436939,64830.38671875,64830.38671875,8222883
2022-06-07,64248.083051049616,64442.18602099237,63471.67117127863,63568.72265625,19355755
2022-06-08,63471.67258087672,63762.82704225689,63374.62109375,63374.62109375,12483180
2022-06-09,63180.50712351419,63277.55859375,62598.198302099314,63277.55859375,25790725
2022-06-10,62112.946708463955,62501.15262539185,61918.84375,61918.84375,22193552
2022-06-13,60560.1231884058,60948.329106280195,60268.96875,60268.96875,22157816
2022-06-14,59395.50681542811,60366.02163267366,59298.455333703554,60074.8671875,24606419
2022-06-15,59492.55889621087,59686.66186161449,58424.99258649094,58910.25,26811224
2022-06-16,59492.56141599959,59977.81885006157,58716.14952150041,59104.35546875,23394895
2022-06-17,57648.58311559365,58133.84054922659,57648.58311559365,58036.7890625,29053450
2022-06-20,58036.78900926321,58133.84049590077,56386.91373642462,56969.22265625,34111306
2022-06-21,56969.22015224359,57454.47756410256,56483.96274038462,56775.1171875,25148109
2022-06-22,57260.377061631945,57357.428548177086,55901.65625,55901.65625,23334687
2022-06-23,55998.7052278419,56289.8596744338,55125.2418880662,55707.55078125,28338608
2022-06-24,56192.81286119435,57357.43074432791,55998.70988067209,56678.0703125,23256103
2022-06-27,57260.38032791241,58133.843756643284,56581.01988334396,57066.27734375,18122236
2022-06-28,57454.47906144781,57745.633516151094,56969.22163694234,57648.58203125,13540538
2022-06-29,57122.279296875,57415.2140625,56634.0546875,56634.0546875,14677138
2022-06-30,55852.895312500004,56243.475,55657.60546875,55657.60546875,18915142
2022-07-01,55559.95580098977,56145.825282195285,54583.50666564724,54876.44140625,24982097
2022-07-04,54778.80078809107,56048.18476357268,54388.2211033275,55755.25,17807126
2022-07-05,56243.478146853144,56829.34771088287,55852.8984375,55852.8984375,14216539
2022-07-06,55950.53864694149,55950.53864694149,55071.734375,55071.734375,16820461
2022-07-07,55071.731394974224,57317.56441285438,54974.086481153354,56829.33984375,21322833
2022-07-08,57219.921489033215,57903.43590955068,56829.3418201661,57317.56640625,15339271
2022-07-11,57903.439459768284,58196.37422937925,57317.569920546346,57415.21484375,13042624
2022-07-12,57219.91988489673,57317.56479937608,56731.6953125,56731.6953125,9336061
2022-07-13,56926.989453125,57219.92421875,56634.0546875,56634.0546875,10841315
2022-07-14,56145.828125,56829.34255434782,56048.18320652174,56145.828125,15067012
2022-07-15,57024.63057291666,58586.94921875,56731.695826822914,58586.94921875,18685583
2022-07-18,59172.823038671246,60539.851953756064,59075.17811616519,60442.20703125,20832517
2022-07-19,59953.97848676109,60051.623402863304,58782.239493534486,59465.75390625,15248261
2022-07-20,60344.555733471076,60637.490470041324,59075.171875,59075.171875,16782238
2022-07-21,59661.04803802589,60442.20742313916,59270.46834546926,60344.5625,12291374
2022-07-22,60344.556599204734,60735.13625356852,59758.68711765906,59856.33203125,10261310
2022-07-25,59465.75703252864,60442.206244885434,59368.11211129296,59661.046875,9193681
2022-07-26,59368.10980551053,60442.20389738655,59368.10980551053,60246.9140625,6597211
2022-07-27,59856.33788430421,60442.20742313916,59758.69296116505,60344.5625,7320997
2022-07-28,60832.786721274235,61125.72148879241,60149.27226373183,60442.20703125,10745302
2022-07-29,60930.42966205211,61125.71950071254,59856.33554941978,59953.98046875,15093120
2022-08-01,59563.397290477165,60246.911685613784,58879.88289534054,59856.33203125,13154816
2022-08-02,59758.68947528363,60442.20389738655,59563.39964039708,60246.9140625,13614895
2022-08-03,60149.26677202284,60149.26677202284,59563.397290477165,59856.33203125,10053861
2022-08-04,60246.91483739837,60344.55975609756,59758.690243902434,60051.625,9125439
2022-08-05,60246.91483739837,60442.20467479675,59758.690243902434,60051.625,9567620
2022-08-08,59953.97493061266,59953.97493061266,59172.81564812911,59368.10546875,11313150
2022-08-09,59172.8187109375,59270.46362630208,58196.36955729166,58586.94921875,18251170
2022-08-10,57512.858595071906,57805.79335871404,57219.923831429776,57708.1484375,18084349
2022-08-11,58196.373826168616,58586.95351627713,57903.43905858723,58489.30859375,15141941
2022-08-12,58098.72388263082,59270.462851692275,58001.07896854236,58782.23828125,10786658
2022-08-16,59075.16998591189,60149.263985655736,58879.88016777664,59563.39453125,15036727
2022-08-17,59661.04568501656,59758.69060430463,58879.88633071192,58977.53125,9061518
2022-08-18,58879.88597560975,60442.20467479675,58586.95121951219,60051.625,16372754
