value,label
KRX:348950,제이알글로벌리츠
KRX:093370,후성
KRX:195870,해성디에스
KRX:281820,케이씨텍
KRX:002840,미원상사
KRX:005250,녹십자홀딩스
KRX:114090,GKL
KRX:009450,경동나비엔
KRX:100090,SK오션플랜트
KRX:001060,JW중외제약
KRX:330590,롯데리츠
KRX:456040,OCI
KRX:192650,드림텍
KRX:079160,CJ CGV
KRX:066575,LG전자우
KRX:016380,KG스틸
KRX:000815,삼성화재우
KRX:001530,DI동일
KRX:000640,동아쏘시오홀딩스
KRX:032350,롯데관광개발
KRX:001680,대상
KRX:268280,미원에스씨
KRX:003280,흥아해운
KRX:025540,한국단자
KRX:161000,애경케미칼
KRX:005440,현대지에프홀딩스
KRX:005880,대한해운
KRX:344820,KCC글라스
KRX:272450,진에어
KRX:082740,HSD엔진
KRX:064960,SNT모티브
KRX:007700,F&F홀딩스
KRX:170900,동아에스티
KRX:030190,NICE평가정보
KRX:460860,동국제강
KRX:019170,신풍제약
KRX:033240,자화전자
KRX:293940,신한알파리츠
KRX:000070,삼양홀딩스
KRX:001720,신영증권
KRX:003570,SNT다이내믹스
KRX:178920,PI첨단소재
KRX:049770,동원F&B
KRX:403550,쏘카
KRX:030610,교보증권
KRX:381970,케이카
KRX:031430,신세계인터내셔날
KRX:090460,비에이치
KRX:192400,쿠쿠홀딩스
KRX:286940,롯데정보통신
KRX:002240,고려제강
KRX:091810,티웨이항공
KRX:229640,LS에코에너지
KRX:00680K,미래에셋증권2우B
KRX:057050,현대홈쇼핑
KRX:000370,한화손해보험
KRX:210980,SK디앤디
KRX:017960,한국카본
KRX:003470,유안타증권
KRX:200880,서연이화
KRX:071320,지역난방공사
KRX:383800,LX홀딩스
KRX:014830,유니드
KRX:005180,빙그레
KRX:950210,프레스티지바이오파마
KRX:005610,SPC삼립
KRX:103590,일진전기
KRX:145990,삼양사
KRX:001470,삼부토건
KRX:012630,HDC
KRX:034310,NICE
KRX:900140,엘브이엠씨홀딩스
KRX:020000,한섬
KRX:003000,부광약품
KRX:001725,신영증권우
KRX:034120,SBS
KRX:097520,엠씨넥스
KRX:377740,바이오노트
KRX:017940,E1
KRX:284740,쿠쿠홈시스
KRX:007810,코리아써키트
KRX:002030,아세아
KRX:058650,세아홀딩스
KRX:249420,일동제약
KRX:010690,화신
KRX:183190,아세아시멘트
KRX:001390,KG케미칼
KRX:357120,코람코라이프인프라리츠
KRX:002310,아세아제지
KRX:005810,풍산홀딩스
KRX:018250,애경산업
KRX:241590,화승엔터프라이즈
KRX:001940,KISCO홀딩스
KRX:003920,남양유업
KRX:123890,한국자산신탁
KRX:001200,유진투자증권
KRX:126560,현대퓨처넷
KRX:084690,대상홀딩스
KRX:004690,삼천리
KRX:432320,KB스타리츠
KRX:017810,풀무원
KRX:011930,신성이엔지
KRX:003300,한일홀딩스
KRX:453340,현대그린푸드
KRX:090435,아모레퍼시픽우
KRX:003545,대신증권우
KRX:006220,제주은행
KRX:029530,신도리코
KRX:448730,삼성FN리츠
KRX:033270,유나이티드제약
KRX:094800,맵스리얼티1
KRX:016800,퍼시스
KRX:093050,LF
KRX:306200,세아제강
KRX:009290,광동제약
KRX:027410,BGF
KRX:003520,영진약품
KRX:006405,삼성SDI우
KRX:005389,현대차3우B
KRX:108670,LX하우시스
KRX:025860,남해화학
KRX:004430,송원산업
KRX:002320,한진
KRX:007690,국도화학
KRX:093230,이아이디
KRX:451800,한화리츠
KRX:060980,HL홀딩스
KRX:004700,조광피혁
KRX:036530,SNT홀딩스
KRX:001340,백광산업
KRX:000430,대원강업
KRX:075580,세진중공업
KRX:001820,삼화콘덴서
KRX:000490,대동
KRX:00088K,한화3우B
KRX:005090,SGC에너지
KRX:003960,사조대림
KRX:003220,대원제약
KRX:000680,LS네트웍스
KRX:298690,에어부산
KRX:005690,파미셀
KRX:051905,LG생활건강우
KRX:005950,이수화학
KRX:001880,DL건설
KRX:001780,알루코
KRX:012030,DB
KRX:000540,흥국화재
KRX:00104K,CJ4우(전환)
KRX:004380,삼익THK
KRX:002960,한국쉘석유
KRX:084010,대한제강
KRX:088260,이리츠코크렙
KRX:072710,농심홀딩스
KRX:013890,지누스
KRX:003120,일성신약
KRX:104700,한국철강
KRX:071970,STX중공업
KRX:008490,서흥
KRX:001510,SK증권
KRX:017390,서울가스
KRX:126720,수산인더스트리
KRX:084680,이월드
KRX:029460,케이씨
KRX:058430,포스코스틸리온
KRX:077970,STX엔진
KRX:001630,종근당홀딩스
KRX:092220,KEC
KRX:006390,한일현대시멘트
KRX:001500,현대차증권
KRX:097230,HJ중공업
KRX:001790,대한제당
KRX:138490,코오롱플라스틱
KRX:026890,스틱인베스트먼트
KRX:000480,CR홀딩스
KRX:122900,아이마켓코리아
KRX:095720,웅진씽크빅
KRX:004560,현대비앤지스틸
KRX:005500,삼진제약
KRX:071055,한국금융지주우
KRX:011810,STX
KRX:272550,삼양패키징
KRX:452260,한화갤러리아
KRX:037560,LG헬로비전
KRX:102460,이연제약
KRX:005010,휴스틸
KRX:009160,SIMPAC
KRX:001270,부국증권
KRX:005390,신성통상
KRX:003580,HLB글로벌
KRX:115390,락앤락
KRX:009680,모토닉
KRX:000020,동화약품
KRX:034830,한국토지신탁
KRX:007570,일양약품
KRX:024720,한국콜마홀딩스
KRX:001460,BYC
KRX:008350,남선알미늄
KRX:001230,동국홀딩스
KRX:011500,한농화성
KRX:016580,환인제약
KRX:053210,스카이라이프
KRX:002150,도화엔지니어링
KRX:322000,HD현대에너지솔루션
KRX:037270,YG PLUS
KRX:002810,삼영무역
KRX:018470,조일알미늄
KRX:213500,한솔제지
KRX:298000,효성화학
KRX:007860,서연
KRX:226320,잇츠한불
KRX:035150,백산
KRX:130660,한전산업
KRX:096760,JW홀딩스
KRX:016590,신대양제지
KRX:011760,현대코퍼레이션
KRX:037710,광주신세계
KRX:003160,디아이
KRX:271980,제일약품
KRX:004360,세방
KRX:036420,콘텐트리중앙
KRX:293480,하나제약
KRX:001250,GS글로벌
KRX:092230,KPX홀딩스
KRX:002900,TYM
KRX:450140,코오롱모빌리티그룹
KRX:000050,경방
KRX:071840,롯데하이마트
KRX:334890,이지스밸류리츠
KRX:001520,동양
KRX:001130,대한제분
KRX:194370,제이에스코퍼레이션
KRX:068290,삼성출판사
KRX:011280,태림포장
KRX:015360,예스코홀딩스
KRX:019680,대교
KRX:117580,대성에너지
KRX:102260,동성케미컬
KRX:005720,넥센
KRX:008060,대덕
KRX:025000,KPX케미칼
KRX:462520,조선내화
KRX:020120,키다리스튜디오
KRX:377190,디앤디플랫폼리츠
KRX:002020,코오롱
KRX:109070,주성코퍼레이션
KRX:006840,AK홀딩스
KRX:035510,신세계 I&C
KRX:003200,일신방직
KRX:004710,한솔테크닉스
KRX:030210,다올투자증권
KRX:011785,금호석유우
KRX:095570,AJ네트웍스
KRX:074610,이엔플러스
KRX:404990,신한서부티엔디리츠
KRX:090350,노루페인트
KRX:000140,하이트진로홀딩스
KRX:039570,HDC랩스
KRX:011330,유니켐
KRX:015860,일진홀딩스
KRX:004980,성신양회
KRX:044450,KSS해운
KRX:234080,JW생명과학
KRX:007160,사조산업
KRX:009155,삼성전기우
KRX:000155,두산우
KRX:005945,NH투자증권우
KRX:027970,한국제지
KRX:011000,진원생명과학
KRX:010955,S-Oil우
KRX:007460,에이프로젠
KRX:267850,아시아나IDT
KRX:417310,코람코더원리츠
KRX:053690,한미글로벌
KRX:339770,교촌에프앤비
KRX:081000,일진다이아
KRX:460850,동국씨엠
KRX:001080,만호제강
KRX:003555,LG우
KRX:002100,경농
KRX:010100,한국무브넥스
KRX:009580,무림P&P
KRX:028100,동아지질
KRX:005680,삼영전자
KRX:02826K,삼성물산우B
KRX:363280,티와이홀딩스
KRX:016610,DB금융투자
KRX:002390,한독
KRX:014280,금강공업
KRX:016450,한세예스24홀딩스
KRX:002990,금호건설
KRX:004250,NPC
KRX:107590,미원홀딩스
KRX:000390,삼화페인트
KRX:092790,넥스틸
KRX:003070,코오롱글로벌
KRX:100250,진양홀딩스
KRX:097955,CJ제일제당 우
KRX:317400,자이에스앤디
KRX:006060,화승인더
KRX:139990,아주스틸
KRX:128820,대성산업
KRX:000500,가온전선
KRX:015890,태경산업
KRX:214390,경보제약
KRX:092200,디아이씨
KRX:077500,유니퀘스트
KRX:078520,에이블씨엔씨
KRX:010580,에스엠벡셀
KRX:105840,우진
KRX:002620,제일파마홀딩스
KRX:005430,한국공항
KRX:136490,선진
KRX:100840,SNT에너지
KRX:011700,한신기계
KRX:007210,벽산
KRX:033530,세종공업
KRX:058850,KTcs
KRX:282690,동아타이어
KRX:083420,그린케미칼
KRX:010820,퍼스텍
KRX:015230,대창단조
KRX:013570,디와이
KRX:014580,태경비케이
KRX:001020,페이퍼코리아
KRX:000320,노루홀딩스
KRX:008700,아남전자
KRX:101530,해태제과식품
KRX:024900,덕양산업
KRX:004090,한국석유
KRX:012320,경동인베스트
KRX:000520,삼일제약
KRX:134380,미원화학
KRX:016710,대성홀딩스
KRX:017370,우신시스템
KRX:002170,삼양통상
KRX:214420,토니모리
KRX:006490,인스코비
KRX:002780,진흥기업
KRX:079430,현대리바트
KRX:006890,태경케미컬
KRX:000970,한국주철관
KRX:000700,유수홀딩스
KRX:031440,신세계푸드
KRX:111380,동인기연
KRX:070960,용평리조트
KRX:210540,디와이파워
KRX:012610,경인양행
KRX:003830,대한화섬
KRX:007540,샘표
KRX:003720,삼영
KRX:033920,무학
KRX:003547,대신증권2우B
KRX:000860,강남제비스코
KRX:400760,NH올원리츠
KRX:008260,NI스틸
KRX:004970,신라교역
KRX:094280,효성ITX
KRX:001360,삼성제약
KRX:089470,HDC현대EP
KRX:000180,성창기업지주
KRX:017900,광전자
KRX:003650,미창석유
KRX:079980,휴비스
KRX:002210,동성제약
KRX:004830,덕성
KRX:014530,극동유화
KRX:004080,신흥
KRX:025820,이구산업
KRX:008040,사조동아원
KRX:001750,한양증권
KRX:013580,계룡건설
KRX:009270,신원
KRX:002700,신일전자
KRX:214330,금호에이치티
KRX:023800,인지컨트롤스
KRX:004840,DRB동일
KRX:00279K,아모레G3우(전환)
KRX:014160,대영포장
KRX:003460,유화증권
KRX:016740,두올
KRX:024090,디씨엠
KRX:372910,한컴라이프케어
KRX:063160,종근당바이오
KRX:248170,샘표식품
KRX:004150,한솔홀딩스
KRX:017550,수산중공업
KRX:163560,동일고무벨트
KRX:012170,아센디오
KRX:001045,CJ우
KRX:012800,대창
KRX:120030,조선선재
